datetime,rmssd,coverage,hf,lf,lf_hf_ratio
2025-12-26 03:30:00,40.146,0.942,226.324,903.963,
2025-12-26 03:35:00,37.528,0.94,164.871,1515.151,
2025-12-26 03:40:00,27.862,1.0,97.031,175.205,
2025-12-26 03:45:00,36.884,0.944,217.34,820.238,
2025-12-26 03:50:00,38.649,0.958,138.035,601.077,
2025-12-26 03:55:00,37.551,0.952,169.714,1146.939,
2025-12-26 04:00:00,70.295,0.894,655.789,2746.889,
2025-12-26 04:05:00,76.351,0.888,970.399,660.726,
2025-12-26 04:10:00,42.372,1.004,144.68,554.045,
2025-12-26 04:15:00,31.12,1.005,112.055,707.45,
2025-12-26 04:20:00,36.636,1.003,113.444,545.249,
2025-12-26 04:25:00,28.937,1.001,65.186,308.63,
2025-12-26 04:30:00,32.556,1.006,94.936,282.876,
2025-12-26 04:35:00,40.591,0.887,148.19,528.571,
2025-12-26 04:40:00,55.281,0.893,335.354,718.167,
2025-12-26 04:45:00,44.356,0.952,254.783,874.871,
2025-12-26 04:50:00,49.334,0.966,271.625,727.388,
2025-12-26 04:55:00,46.556,1.006,276.661,257.305,
2025-12-26 05:00:00,34.657,0.93,145.7,1322.241,
2025-12-26 05:05:00,39.034,0.966,199.671,756.834,
2025-12-26 05:10:00,59.417,1.003,511.397,187.621,
2025-12-26 05:15:00,47.633,1.005,272.912,268.507,
2025-12-26 05:20:00,49.562,0.945,375.757,497.613,
2025-12-26 05:30:00,47.723,0.97,323.615,2001.948,
2025-12-26 05:35:00,54.113,0.955,405.83,2197.722,
2025-12-26 05:40:00,43.269,0.986,262.006,874.075,
2025-12-26 05:45:00,46.448,0.985,264.956,971.469,
2025-12-26 05:50:00,46.878,0.822,218.518,2539.092,
2025-12-26 06:00:00,39.632,1.004,316.223,640.004,
2025-12-26 06:05:00,32.79,0.918,153.777,1204.039,
2025-12-26 06:10:00,33.397,1.006,245.627,420.442,
2025-12-26 06:15:00,27.0,1.005,142.825,493.914,
2025-12-26 06:20:00,28.506,1.001,184.351,374.627,
2025-12-26 06:25:00,29.39,0.997,138.861,289.427,
2025-12-26 22:30:00,55.763,0.922,434.73,464.842,
2025-12-26 22:35:00,56.959,1.006,508.739,290.112,
2025-12-26 22:40:00,59.297,1.004,655.3,238.868,
2025-12-26 22:45:00,53.271,0.976,429.919,188.28,
2025-12-26 22:50:00,47.433,1.005,333.032,180.224,
2025-12-26 22:55:00,43.758,1.0,330.93,188.459,
2025-12-26 23:00:00,44.154,1.003,397.271,236.554,
2025-12-26 23:05:00,37.865,1.005,202.88,120.84,
2025-12-26 23:10:00,35.983,1.004,227.997,232.429,
2025-12-26 23:15:00,36.164,1.005,239.647,121.371,
2025-12-26 23:20:00,27.221,0.915,79.865,669.673,
2025-12-26 23:25:00,20.06,0.999,63.407,186.037,
2025-12-26 23:30:00,20.236,1.001,65.561,148.979,
2025-12-26 23:35:00,22.975,1.007,81.512,162.725,
2025-12-26 23:55:00,31.84,0.996,152.435,610.93,
2025-12-27 00:00:00,32.796,1.0,159.586,352.193,
2025-12-27 00:05:00,28.329,0.963,113.355,548.351,
2025-12-27 00:10:00,35.253,1.004,236.806,127.034,
2025-12-27 00:15:00,36.357,1.005,228.507,172.734,
2025-12-27 00:20:00,35.796,1.005,227.461,183.485,
2025-12-27 00:25:00,38.208,0.886,216.579,332.979,
2025-12-27 00:30:00,36.094,0.986,229.148,638.892,
2025-12-27 00:35:00,30.864,1.002,138.765,342.575,
2025-12-27 00:40:00,31.212,1.003,155.411,400.193,
2025-12-27 00:45:00,33.988,1.007,164.147,137.391,
2025-12-27 00:50:00,34.484,0.929,139.892,1700.711,
2025-12-27 00:55:00,48.525,0.952,363.451,582.879,
2025-12-27 01:30:00,28.888,0.998,65.409,805.614,
2025-12-27 01:35:00,25.183,1.001,80.09,410.172,
2025-12-27 01:40:00,32.513,1.005,150.42,1488.79,
2025-12-27 01:45:00,29.01,0.986,125.621,1025.602,
2025-12-27 01:50:00,27.141,1.002,135.606,102.036,
2025-12-27 01:55:00,26.82,0.99,119.647,625.832,
2025-12-27 02:00:00,25.508,0.996,74.65,689.605,
2025-12-27 02:05:00,35.678,0.932,163.38,1180.102,
2025-12-27 02:10:00,39.192,1.002,209.979,741.222,
2025-12-27 02:15:00,34.604,0.911,148.922,666.392,
2025-12-27 02:20:00,32.565,0.989,150.966,239.52,
2025-12-27 02:25:00,32.544,0.97,138.561,303.716,
2025-12-27 02:30:00,37.48,0.884,154.483,810.999,
2025-12-27 02:35:00,41.851,0.984,237.059,2040.662,
2025-12-27 02:40:00,42.702,0.926,237.895,664.284,
2025-12-27 02:45:00,35.407,0.977,139.13,577.865,
2025-12-27 02:50:00,38.317,0.952,147.247,632.762,
2025-12-27 02:55:00,33.337,0.958,132.447,1095.081,
2025-12-27 03:00:00,31.217,0.984,105.097,1992.433,
2025-12-27 03:05:00,26.844,0.955,81.992,735.214,
2025-12-27 03:10:00,47.029,0.982,387.362,1333.916,
2025-12-27 03:15:00,36.858,0.932,130.72,709.225,
2025-12-27 03:20:00,35.478,0.992,181.981,696.978,
2025-12-27 03:25:00,30.842,1.004,125.874,487.621,
2025-12-27 03:30:00,24.973,0.972,75.97,282.828,
2025-12-27 03:35:00,29.65,0.976,112.523,414.052,
2025-12-27 03:40:00,30.335,1.004,134.65,236.597,
2025-12-27 03:45:00,34.938,1.006,173.462,274.218,
2025-12-27 03:50:00,35.005,1.003,155.173,412.98,
2025-12-27 03:55:00,36.5,0.954,119.905,1742.512,
2025-12-27 04:00:00,45.756,1.001,307.42,476.166,
2025-12-27 04:05:00,36.698,0.927,166.278,1808.814,
2025-12-27 04:10:00,25.434,1.003,64.469,265.51,
2025-12-27 04:15:00,31.928,0.945,149.966,571.3,
2025-12-27 04:20:00,39.204,0.849,161.445,1442.104,
2025-12-27 04:25:00,42.383,0.932,157.944,961.691,
2025-12-27 22:30:00,59.05,0.89,631.957,541.521,
2025-12-27 22:35:00,69.133,0.895,799.839,282.853,
2025-12-27 22:40:00,56.672,0.969,498.03,424.241,
2025-12-27 22:45:00,60.399,1.004,526.428,314.471,
2025-12-27 22:50:00,47.449,1.009,327.828,111.744,
2025-12-27 22:55:00,50.309,1.003,315.084,202.719,
2025-12-27 23:00:00,47.233,0.964,385.914,1524.404,
2025-12-27 23:05:00,42.953,1.008,294.158,129.105,
2025-12-27 23:10:00,46.842,0.985,399.29,157.811,
2025-12-27 23:15:00,46.594,1.003,302.829,118.03,
2025-12-27 23:20:00,47.313,0.96,314.187,225.39,
2025-12-27 23:25:00,31.25,1.007,138.582,411.392,
2025-12-27 23:30:00,31.446,0.935,121.779,544.681,
2025-12-27 23:35:00,37.264,0.984,181.331,1014.584,
2025-12-27 23:40:00,24.924,0.995,57.724,610.967,
2025-12-27 23:45:00,45.878,0.955,295.011,1783.707,
2025-12-27 23:50:00,42.727,0.96,206.126,3172.662,
2025-12-27 23:55:00,38.533,1.004,210.871,646.488,
2025-12-28 00:00:00,41.758,1.003,256.358,336.514,
2025-12-28 00:05:00,46.516,1.005,356.782,384.032,
2025-12-28 00:10:00,47.653,1.004,347.49,490.645,
2025-12-28 00:15:00,47.488,0.953,280.237,1606.995,
2025-12-28 00:20:00,37.443,1.003,169.669,297.551,
2025-12-28 00:25:00,37.037,0.943,153.187,1175.387,
2025-12-28 00:30:00,34.311,0.968,150.301,366.21,
2025-12-28 00:35:00,29.057,1.002,104.799,192.533,
2025-12-28 00:40:00,31.471,1.007,141.945,251.056,
2025-12-28 00:45:00,29.103,1.003,108.746,287.918,
2025-12-28 00:50:00,32.405,1.004,127.556,408.975,
2025-12-28 00:55:00,29.167,0.963,93.681,170.079,
2025-12-28 01:00:00,31.238,0.954,106.173,807.39,
2025-12-28 01:05:00,17.733,1.005,35.038,204.771,
2025-12-28 01:10:00,17.765,0.982,33.861,583.941,
2025-12-28 01:15:00,24.337,0.942,88.668,319.763,
2025-12-28 01:20:00,25.488,0.901,214.825,2462.948,
2025-12-28 01:25:00,28.851,0.971,64.834,745.186,
2025-12-28 01:30:00,25.235,0.966,113.441,564.955,
2025-12-28 01:35:00,26.806,0.972,111.115,343.05,
2025-12-28 01:40:00,27.301,1.004,72.218,470.265,
2025-12-28 01:45:00,80.633,0.773,1111.544,1421.779,
2025-12-28 01:50:00,55.124,1.007,452.201,232.82,
2025-12-28 01:55:00,47.566,0.958,358.224,504.033,
2025-12-28 02:00:00,48.132,0.935,286.949,430.152,
2025-12-28 02:15:00,37.159,0.983,170.743,2552.589,
2025-12-28 02:20:00,38.399,0.957,149.332,625.51,
2025-12-28 02:25:00,46.086,0.965,187.774,1586.299,
2025-12-28 02:30:00,44.434,0.973,176.973,832.805,
2025-12-28 02:35:00,35.899,0.965,144.413,1794.884,
2025-12-28 02:40:00,42.287,1.003,258.714,1238.551,
2025-12-28 02:45:00,25.534,0.954,99.511,307.757,
2025-12-28 02:50:00,30.564,0.958,112.861,805.186,
2025-12-28 02:55:00,29.708,1.002,87.306,320.765,
2025-12-28 03:00:00,33.873,0.96,153.724,957.162,
2025-12-28 03:30:00,50.386,1.007,383.367,614.122,
2025-12-28 03:35:00,54.236,0.97,346.926,1468.028,
2025-12-28 03:40:00,59.077,1.005,457.968,709.058,
2025-12-28 03:45:00,69.74,1.007,562.738,1573.077,
2025-12-28 03:50:00,50.733,0.989,311.954,455.108,
2025-12-28 03:55:00,53.741,1.003,423.013,618.523,
2025-12-28 04:00:00,36.619,0.936,138.213,693.337,
2025-12-28 04:05:00,29.208,0.951,105.211,382.76,
2025-12-28 04:10:00,32.791,0.945,141.297,430.809,
2025-12-28 04:15:00,31.138,1.0,131.367,302.151,
2025-12-28 04:20:00,28.236,0.906,84.278,1288.525,
2025-12-28 04:25:00,26.278,0.935,68.861,424.206,
2025-12-28 04:30:00,21.422,0.983,66.64,878.339,
2025-12-28 04:35:00,24.534,0.872,72.441,895.515,
2025-12-28 04:40:00,25.123,0.905,76.202,425.595,
2025-12-28 04:45:00,28.196,0.9,113.366,996.081,
2025-12-28 20:50:00,48.48,0.976,475.75,167.392,
2025-12-28 20:55:00,51.343,0.946,454.108,110.363,
2025-12-28 21:00:00,54.014,1.004,446.326,139.54,
2025-12-28 21:05:00,52.524,1.004,481.882,132.626,
2025-12-28 21:10:00,51.048,0.98,367.23,223.151,
2025-12-28 21:15:00,51.963,1.002,396.286,95.044,
2025-12-28 21:20:00,51.032,1.006,372.922,110.811,
2025-12-28 21:25:00,37.787,0.982,207.49,289.307,
2025-12-28 21:30:00,31.542,1.007,145.209,168.785,
2025-12-28 21:35:00,27.503,0.989,145.223,196.555,
2025-12-28 21:40:00,34.527,0.973,179.655,376.656,
2025-12-28 21:45:00,38.161,0.976,239.529,405.379,
2025-12-28 21:50:00,33.251,1.002,115.784,693.838,
2025-12-28 21:55:00,28.206,0.979,91.782,744.099,
2025-12-28 22:00:00,35.403,0.963,166.833,854.988,
2025-12-28 22:05:00,41.399,1.002,268.803,978.077,
2025-12-28 22:10:00,42.015,1.002,256.372,444.026,
2025-12-28 22:15:00,43.107,1.005,298.924,159.658,
2025-12-28 22:20:00,39.046,0.93,435.26,4679.122,
2025-12-28 22:25:00,33.27,1.003,151.611,225.962,
2025-12-28 22:30:00,33.943,1.005,120.265,197.612,
2025-12-28 22:35:00,34.747,1.003,158.504,245.857,
2025-12-28 22:40:00,44.185,0.944,206.485,1249.798,
2025-12-28 22:45:00,45.9,1.005,254.561,303.699,
2025-12-28 22:50:00,40.447,0.989,202.771,893.009,
2025-12-28 22:55:00,58.794,0.99,426.002,508.032,
2025-12-28 23:00:00,51.443,1.005,316.529,175.458,
2025-12-28 23:05:00,45.068,0.994,305.284,480.571,
2025-12-28 23:10:00,37.733,0.983,165.676,1463.43,
2025-12-28 23:15:00,27.304,0.996,92.668,374.859,
2025-12-28 23:20:00,34.039,0.976,179.005,385.695,
