date_time,temperature
2026-01-03 00:00:00,36.4
2026-01-04 00:00:00,36.3
2026-01-05 00:00:00,36.4
2026-01-07 00:00:00,36.1
2026-01-08 00:00:00,35.9
2026-01-09 00:00:00,36.3
2026-01-14 00:00:00,36.3
2026-01-15 00:00:00,36.4
2026-01-16 00:00:00,36.5
2026-01-17 00:00:00,36.5
2026-01-22 00:00:00,36.7
2026-01-26 00:00:00,36.3
2026-02-02 08:12:49,36.6
2026-02-03 05:37:42,36.5
2026-02-04 05:25:39,36.4
2026-02-06 06:37:34,36.5
2026-02-11 06:28:21,35.4
2026-02-17 06:12:42,36.4
2026-02-18 06:24:20,36.6
2026-02-19 06:17:47,36.5
2026-02-27 00:00:00,36.4
2026-04-23 00:00:00,36.9
2026-05-01 00:00:00,36.6
2026-05-14 22:00:01,36.1
2026-05-15 05:15:58,36.1
2026-08-16 00:00:00,36.6
2026-08-17 09:03:19,36.8
2026-08-18 05:34:08,36.4
2026-08-19 05:57:56,36.3
