logId,dateOfSleep,dateTime,level,seconds,isShort
1849968311447151584,2025-12-07,2025-12-07 05:04:00,light,240,False
1849968311447151584,2025-12-07,2025-12-07 05:04:30,wake,60,True
1849968311447151584,2025-12-07,2025-12-07 05:08:00,wake,840,False
1160459751190835336,2025-12-08,2025-12-07 23:42:30,wake,330,False
1160459751190835336,2025-12-08,2025-12-07 23:48:00,light,570,False
1160459751190835336,2025-12-08,2025-12-07 23:57:30,deep,1860,False
1160459751190835336,2025-12-08,2025-12-08 00:26:30,wake,120,True
1160459751190835336,2025-12-08,2025-12-08 00:28:30,light,840,False
1160459751190835336,2025-12-08,2025-12-08 00:42:30,deep,90,False
1160459751190835336,2025-12-08,2025-12-08 00:44:00,light,240,False
1160459751190835336,2025-12-08,2025-12-08 00:45:30,wake,90,True
1160459751190835336,2025-12-08,2025-12-08 00:48:00,wake,210,False
1160459751190835336,2025-12-08,2025-12-08 00:51:30,light,900,False
1160459751190835336,2025-12-08,2025-12-08 01:06:30,rem,1860,False
1160459751190835336,2025-12-08,2025-12-08 01:37:30,light,30,False
1160459751190835336,2025-12-08,2025-12-08 01:38:00,rem,210,False
1160459751190835336,2025-12-08,2025-12-08 01:41:30,light,1290,False
1160459751190835336,2025-12-08,2025-12-08 02:03:00,deep,90,False
1160459751190835336,2025-12-08,2025-12-08 02:04:30,light,3060,False
1160459751190835336,2025-12-08,2025-12-08 02:06:00,wake,30,True
1160459751190835336,2025-12-08,2025-12-08 02:21:00,wake,60,True
1160459751190835336,2025-12-08,2025-12-08 02:48:30,wake,90,True
1160459751190835336,2025-12-08,2025-12-08 02:55:30,rem,3180,False
1160459751190835336,2025-12-08,2025-12-08 03:26:00,wake,30,True
1160459751190835336,2025-12-08,2025-12-08 03:47:30,wake,60,True
1160459751190835336,2025-12-08,2025-12-08 03:48:30,light,4230,False
1160459751190835336,2025-12-08,2025-12-08 04:34:00,wake,30,True
1160459751190835336,2025-12-08,2025-12-08 04:45:30,wake,120,True
1160459751190835336,2025-12-08,2025-12-08 04:58:00,wake,60,True
1160459751190835336,2025-12-08,2025-12-08 04:59:00,rem,90,False
1160459751190835336,2025-12-08,2025-12-08 04:59:30,wake,30,True
1160459751190835336,2025-12-08,2025-12-08 05:00:30,light,60,False
1160459751190835336,2025-12-08,2025-12-08 05:01:30,rem,2100,False
1160459751190835336,2025-12-08,2025-12-08 05:19:00,wake,60,True
1160459751190835336,2025-12-08,2025-12-08 05:36:30,light,2310,False
1160459751190835336,2025-12-08,2025-12-08 05:59:00,wake,60,True
1160459751190835336,2025-12-08,2025-12-08 06:15:00,wake,900,False
665857912056376000,2025-12-09,2025-12-08 22:25:30,wake,2610,False
665857912056376000,2025-12-09,2025-12-08 23:09:00,light,210,False
665857912056376000,2025-12-09,2025-12-08 23:11:30,wake,30,True
665857912056376000,2025-12-09,2025-12-08 23:12:30,wake,2250,False
665857912056376000,2025-12-09,2025-12-08 23:50:00,light,1200,False
665857912056376000,2025-12-09,2025-12-09 00:10:00,rem,2190,False
665857912056376000,2025-12-09,2025-12-09 00:44:00,wake,30,True
665857912056376000,2025-12-09,2025-12-09 00:45:00,wake,90,True
665857912056376000,2025-12-09,2025-12-09 00:46:30,light,2010,False
665857912056376000,2025-12-09,2025-12-09 01:20:00,deep,1170,False
665857912056376000,2025-12-09,2025-12-09 01:36:30,wake,180,True
