date,avg_day_hr,avg_sleep_hr,min_sleep_hr,resting_hr,dip_rate_avg,dip_rate_min,night_day_ratio,time_to_min_hr,min_hr_clock_time,sleep_efficiency,minutes_asleep,time_in_bed
2025-12-24,62.75054704595186,45.52338530066815,40,51,27.453404880547666,36.255535795236604,0.7254659511945233,432.5,05:49,91.29464285714286,409,448
2025-12-25,62.718555417185556,47.980645161290326,40,51,23.49848487080569,36.22302086849473,0.7650151512919431,386.0,05:10,85.5603448275862,397,464
2025-12-26,72.25882352941177,44.953929539295395,40,50,37.787626003905764,44.64343861934224,0.6221237399609424,90.5,01:52,76.96476964769647,284,369
2025-12-27,72.25882352941177,46.94765840220386,42,50,35.02847664950623,41.87561055030935,0.6497152335049378,7.5,22:37,90.33149171270718,327,362
2025-12-28,66.36438679245283,46.240932642487046,41,49,30.322670219043278,38.219876681415144,0.6967732978095672,11.0,22:38,90.38961038961038,348,385
2025-12-29,68.9091915836102,48.433048433048434,39,49,29.714676199208146,43.40377661711531,0.7028532380079185,428.5,03:59,71.08262108262107,499,702
2025-12-30,65.96993670886076,49.91629955947136,41,50,24.334777248972486,37.85047849758952,0.7566522275102752,441.0,05:35,84.98896247240619,385,453
2025-12-31,70.6,49.64314516129032,39,51,29.6839303664443,44.75920679886685,0.703160696335557,464.0,05:09,90.30303030303031,447,495
2026-01-01,75.46788990825688,55.514910536779325,47,52,26.439031746791315,37.721857524920985,0.7356096825320869,129.0,01:21,70.9741550695825,357,503
2026-01-01,64.06458333333333,57.74271844660194,53,52,9.8679559872234,17.270983057461546,0.901320440127766,92.5,14:29,76.58536585365854,157,205
2026-01-01,64.06458333333333,67.53968253968254,62,52,-5.424368700359737,3.22265942570973,1.0542436870035974,1.5,17:25,100.0,62,62
2026-01-02,64.06458333333333,47.85627530364373,40,51,25.299950747133458,37.56300608110305,0.7470004925286654,329.5,04:39,81.7444219066937,403,493
2026-01-03,65.55143338954468,51.10307414104882,44,53,22.041256005242968,32.87713521300679,0.7795874399475703,448.0,04:36,69.56521739130434,384,552
2026-01-04,68.7039897039897,45.92027334851936,40,52,33.1621445182932,41.77921810314145,0.668378554817068,388.5,04:38,82.6879271070615,363,439
2026-01-05,68.93586698337292,50.789366053169736,44,54,26.323743682776996,36.172558748535586,0.73676256317223,431.5,04:38,80.98159509202453,396,489
2026-01-06,70.92396313364056,55.68,46,56,21.493388778792113,35.141808258341186,0.7850661122120789,232.0,02:57,67.68867924528303,287,424
2026-01-07,71.54260089686099,55.75449101796407,46,57,22.068124000213192,35.702645104675945,0.779318759997868,476.0,06:11,84.2,421,500
2026-01-08,71.09684684684684,54.203219315895375,46,58,23.76143004955318,35.29952165235847,0.7623856995044682,358.0,04:27,87.14859437751004,434,498
2026-01-09,72.67002518891688,53.80962800875273,47,58,25.95347549575448,35.32409012131716,0.7404652450424553,162.5,01:29,74.17943107221006,339,457
2026-01-12,67.79342105263157,47.974137931034484,41,54,29.23481779479803,39.52215515400888,0.7076518220520197,396.5,03:54,86.85344827586206,403,464
2026-01-13,77.12658227848101,54.571120689655174,46,56,29.24473109334057,40.3577876251436,0.7075526890665943,445.0,05:40,89.41684665226782,414,463
2026-01-14,69.96103896103897,53.22458628841608,46,56,23.92253305721111,34.2491182476332,0.760774669427889,374.5,04:48,89.12529550827422,377,423
2026-01-15,64.30055865921787,49.431451612903224,43,55,23.12438236364074,33.12655302437922,0.7687561763635926,209.5,01:08,84.4758064516129,419,496
2026-01-16,66.47569444444444,48.76959619952494,44,54,26.6354468244284,33.810394358840426,0.733645531755716,134.0,00:47,84.70588235294117,360,425
2026-01-17,64.121875,57.06617647058823,49,57,11.00357487895008,23.583020615039725,0.8899642512104993,188.0,02:26,85.5036855036855,348,407
2026-01-18,72.2103487064117,49.098214285714285,42,55,32.0066788690708,41.83659163486252,0.6799332113092921,151.5,01:19,91.51785714285714,410,448
2026-01-19,65.48526077097506,54.41361256544503,45,56,16.90708424335588,31.28224661518751,0.8309291575664413,226.0,04:31,83.46456692913385,318,381
2026-01-20,65.48526077097506,47.684964200477324,40,53,27.182141997955267,38.91755254683334,0.7281785800204473,329.0,04:17,90.19138755980862,377,418
2026-01-21,77.5859375,47.919444444444444,42,53,38.23694603877868,45.86647870305105,0.6176305396122131,106.0,00:39,82.15962441314554,350,426
2026-01-22,68.03627569528416,50.19088937093275,44,54,26.22922278149969,35.328617637649735,0.737707772185003,258.0,02:33,88.04347826086956,405,460
2026-01-23,67.68950276243093,53.324444444444445,48,56,21.22198824299739,29.087970747155513,0.7877801175700261,105.0,23:55,88.64142538975501,398,449
