date,stage,avg_rmssd,avg_hf,avg_lf,avg_lf_hf_ratio,min_rmssd,max_rmssd,data_points
2025-12-25,overall,40.904267605633805,239.87123943661976,786.6421408450703,4.078456652783066,17.76,76.245,71
2025-12-25,wakeup,50.15533333333334,325.35533333333336,1760.9566666666667,5.191630032049278,44.652,53.62,3
2025-12-25,deep,29.420000000000005,133.9127,572.7771,3.902683555545873,17.773,58.939,10
2025-12-25,light,42.56775675675676,266.232,692.0970540540541,3.0626420351059878,21.733,61.487,37
2025-12-25,rem,43.11277272727273,243.1920454545455,1001.432318181818,5.717106806334337,17.76,76.245,22
2025-12-25,wake,33.733999999999995,146.39180000000002,877.6245999999999,7.9381346464876845,21.309,49.359,5
2025-12-26,overall,45.30181818181817,279.2472424242424,723.0729242424243,3.134864924690824,27.0,91.761,66
2025-12-26,onset,60.751400000000004,489.2004,341.5222,0.7213727212691531,50.629,91.761,5
2025-12-26,wakeup,30.2166,173.0882,556.4898000000001,3.423218198613833,27.0,33.397,5
2025-12-26,deep,43.69075,238.70758333333333,460.4406666666667,2.0835837624592783,34.883,51.33,12
2025-12-26,light,48.13008333333333,314.6675,836.2783055555557,3.2282699720995436,27.862,76.351,36
2025-12-26,rem,38.404777777777774,154.33333333333334,628.2835555555556,4.30589750555317,28.937,55.281,9
2025-12-26,wake,44.01392307692307,316.76646153846156,927.3063846153847,3.5109328101887147,27.0,91.761,13
2025-12-27,overall,35.47138095238095,190.15993650793652,611.1770634920634,4.283823404363051,20.06,59.297,63
2025-12-27,onset,52.746833333333335,448.77500000000003,258.46416666666664,0.5921045311550065,43.758,59.297,6
2025-12-27,wakeup,35.129400000000004,140.02039999999997,1009.8838,6.7654968512238245,25.434,42.383,5
2025-12-27,deep,32.594,170.89926666666668,383.7305333333333,3.345423688892422,20.06,44.154,15
2025-12-27,light,35.67585365853658,185.76229268292687,640.6170487804878,4.258874835452798,24.973,59.297,41
2025-12-27,rem,34.071,171.3728,1145.5888,8.689225571882137,26.844,47.029,5
2025-12-27,wake,49.10866666666667,364.13033333333334,473.782,2.038098352273556,34.604,56.959,3
2025-12-28,overall,39.28968115942029,237.27540579710143,731.1950724637682,4.709752037463628,17.733,80.633,69
2025-12-28,onset,57.16866666666666,516.5276666666666,312.9248333333333,0.6073301690476564,47.449,69.133,6
2025-12-28,wakeup,25.1106,79.502,723.9472,9.214835664901981,21.422,28.196,5
2025-12-28,deep,39.502692307692314,236.2753076923077,349.4849230769231,1.8273040324763015,29.103,50.309,13
2025-12-28,light,42.983,269.0913333333334,750.3368888888889,4.024424442340302,26.278,80.633,36
2025-12-28,rem,29.221117647058822,123.83164705882352,1038.062294117647,8.796649168357908,17.733,45.878,17
2025-12-28,wake,45.78574999999999,400.752875,1016.734625,6.012463616965575,21.422,80.633,8
2025-12-29,overall,41.80434146341463,251.26750406504064,770.87718699187,4.011775835304557,22.169,103.109,123
2025-12-29,onset,51.98733333333333,419.7923333333333,135.25583333333336,0.32925641385206084,51.032,54.014,6
2025-12-29,wakeup,29.432000000000002,163.945,1179.9395,10.935358093941867,22.169,36.695,2
2025-12-29,deep,41.545874999999995,263.077,249.911,1.1257553558689672,27.503,51.963,8
2025-12-29,light,45.31316901408451,287.49198591549293,752.5520845070423,3.0804431207110703,25.935,93.339,71
2025-12-29,rem,36.9194347826087,165.00678260869566,917.9003913043477,6.785341503516772,22.851,48.091,23
2025-12-29,wake,37.04459259259259,233.75418518518515,883.6155925925925,4.805329146206049,22.169,103.109,27
2025-12-30,overall,39.680788235294116,222.89705882352942,569.286388235294,3.200050248210206,22.449,75.463,85
2025-12-30,onset,28.198666666666668,143.56966666666668,366.12033333333335,5.106205772936584,22.449,40.97,6
2025-12-30,wakeup,58.913599999999995,399.4836,1064.8006,2.50788520821977,45.789,75.463,5
2025-12-30,deep,32.56777777777778,166.8552222222222,242.32322222222223,1.516890832719176,25.088,52.548,9
2025-12-30,light,42.872938775510214,262.96787755102036,566.1816326530612,2.43064370264627,24.508,75.463,49
2025-12-30,rem,37.84405263157895,172.9612631578947,791.140105263158,5.400220058205951,29.703,50.518,19
2025-12-30,wake,36.39426666666667,189.4246666666667,529.1464000000001,4.102394535127053,22.449,50.518,15
2025-12-31,overall,33.01372448979592,172.87903061224495,541.8919285714286,3.862205254341905,17.42,66.581,98
2025-12-31,onset,28.80257142857143,146.89685714285716,231.775,1.832334031483106,20.858,34.009,7
2025-12-31,wakeup,55.838499999999996,349.3075,929.5635000000001,2.919446897417212,46.855,61.979,4
2025-12-31,deep,32.3646,178.33953333333335,385.3147333333333,2.159053611278791,22.168,47.878,15
2025-12-31,light,33.4758679245283,163.06324528301886,498.16616981132074,3.5391883481473374,20.705,61.979,53
2025-12-31,rem,33.440555555555555,196.39251851851853,732.342037037037,5.468619319966251,17.42,66.581,27
2025-12-31,wake,36.2179,204.6433,752.4925000000001,3.8573920326826707,20.858,66.581,10
2026-01-01,overall,26.014939393939393,121.50600000000001,619.8972828282828,6.232920055124171,15.834,53.993,99
2026-01-01,onset,19.478333333333335,62.0635,177.99633333333335,3.7153678335481444,15.834,22.083,6
2026-01-01,wakeup,24.6268,135.191,554.109,5.117006640619537,21.476,27.424,5
2026-01-01,deep,22.51988888888889,83.81133333333334,155.5451111111111,1.8758362384332676,18.729,27.367,9
2026-01-01,light,27.89588888888889,134.20971111111112,532.8011555555555,4.606287458179509,18.797,53.993,45
2026-01-01,rem,25.35704,117.61688,997.3996000000001,11.12234200263475,18.023,34.132,25
